q1_freq,q2_freq
1,1
4,2
1,1
1,1
3,1
1,1
1,1
1,1
2,3
1,1
1,1
1,1
2,2
2,2
6,5
9,19
1,1
1,3
18,54
2,1
1,3
1,1
4,7
1,1
3,6
6,2
4,1
1,1
46,1
11,9
1,1
2,3
1,1
1,1
1,2
1,1
2,4
1,2
7,9
1,2
4,2
1,1
2,3
3,1
1,7
3,1
1,1
1,5
2,3
4,2
1,1
1,1
1,1
2,4
1,1
1,1
1,1
1,6
7,16
4,1
9,1
1,1
9,2
1,1
5,6
5,2
5,6
3,4
1,6
1,1
1,1
3,4
41,31
5,21
2,2
1,1
2,1
1,1
1,3
31,24
1,1
1,1
2,1
4,1
1,2
16,18
22,22
1,1
12,18
2,3
1,1
1,1
11,10
3,2
2,1
1,1
1,1
1,2
1,1
2,1
13,15
1,1
1,1
2,2
1,2
1,1
2,17
1,3
2,7
1,1
3,2
2,1
1,2
4,5
1,1
1,8
2,1
1,1
8,20
1,1
10,4
1,7
1,1
2,6
1,1
5,5
1,1
3,2
1,1
1,1
1,1
1,1
1,1
1,4
1,1
2,1
1,1
1,1
1,1
1,1
1,1
10,4
1,1
4,2
2,1
1,4
1,1
3,1
1,1
2,1
1,1
4,1
1,1
1,1
3,1
1,1
4,5
1,1
1,1
20,13
3,2
1,1
1,1
1,2
3,1
5,6
2,1
4,1
8,5
1,1
2,1
1,1
1,8
1,1
1,1
1,1
1,3
1,1
1,1
1,1
5,14
2,2
5,5
1,1
1,1
20,20
3,1
2,2
1,1
4,4
1,1
1,1
1,2
2,2
2,3
1,1
1,1
4,2
2,1
20,8
4,3
1,1
6,1
14,14
1,1
1,1
2,1
3,1
2,1
1,1
2,2
5,1
1,1
1,1
1,1
3,1
1,1
1,3
1,1
4,6
12,18
4,1
2,2
1,1
2,2
1,1
1,1
1,1
8,3
8,8
2,1
3,1
3,9
3,1
2,1
1,4
9,9
1,1
1,1
1,1
1,1
6,3
2,1
1,1
25,16
9,1
1,1
1,1
1,2
11,9
13,14
1,1
1,1
1,1
2,2
4,5
1,1
1,1
2,1
8,12
1,1
1,2
32,27
1,2
4,1
1,1
1,1
1,3
2,1
2,1
2,2
1,1
1,2
23,25
1,1
1,1
2,1
1,2
1,2
1,1
3,1
2,1
1,1
1,1
7,5
15,24
3,7
12,10
4,3
1,1
1,1
1,1
2,6
2,2
1,6
8,6
7,7
1,1
1,2
22,21
3,1
1,1
2,4
2,2
2,2
1,1
1,1
1,1
2,1
2,2
22,4
2,2
3,2
1,1
1,2
1,1
1,3
1,1
10,4
4,2
1,1
27,35
1,1
3,3
2,1
7,2
1,4
1,2
3,2
2,2
1,2
1,3
1,2
2,1
1,1
1,1
1,1
1,1
2,4
11,10
1,10
1,1
1,2
4,1
1,1
1,1
51,21
13,5
2,4
3,3
1,1
2,12
2,1
3,6
2,1
1,1
2,6
1,2
1,1
1,1
1,2
1,1
1,2
2,3
4,4
7,2
1,3
2,1
6,1
2,2
2,1
2,1
1,1
7,4
1,1
2,1
1,7
1,1
1,2
1,3
6,6
1,1
3,1
1,1
1,1
2,5
1,1
1,1
1,1
1,1
4,4
1,1
1,2
2,2
4,4
1,1
1,1
12,8
4,1
10,8
7,7
2,1
1,1
10,10
1,1
8,5
5,3
1,1
1,1
1,1
1,2
1,1
2,2
2,1
1,1
5,2
1,5
1,3
1,1
6,1
1,2
2,2
2,2
1,13
4,1
1,1
1,1
1,1
14,11
1,1
2,3
1,3
11,11
2,1
2,1
2,1
1,3
1,1
1,1
26,39
2,1
1,1
26,26
5,10
6,5
1,1
8,8
2,1
2,1
2,1
5,5
2,3
1,1
1,2
3,1
1,1
1,2
2,3
1,1
2,4
24,22
3,3
2,1
5,2
1,1
2,1
1,2
4,5
3,2
1,1
1,1
1,1
3,1
1,1
1,1
1,3
2,1
4,1
1,1
8,3
1,1
7,2
1,1
1,3
25,18
1,1
2,1
1,2
1,1
1,1
5,1
3,4
2,1
12,12
1,1
2,2
4,5
1,1
1,1
1,1
1,2
1,1
13,2
1,2
2,1
8,10
3,4
2,1
3,2
1,1
1,1
1,1
4,1
6,5
1,1
5,10
3,2
13,14
1,1
1,1
10,11
1,1
1,1
1,1
1,2
2,1
1,1
2,3
1,1
1,1
2,1
1,1
28,27
3,3
2,7
1,1
6,6
2,1
6,8
2,1
2,2
2,1
1,1
1,1
3,3
3,6
1,1
5,6
1,1
10,10
4,2
19,20
2,1
2,2
5,1
4,6
2,1
1,1
5,3
1,1
2,2
18,22
1,1
1,3
18,21
1,1
3,1
2,1
1,1
5,8
1,1
3,4
1,1
1,1
1,8
2,3
1,1
1,1
4,2
1,1
3,3
1,1
1,1
3,3
1,1
1,1
7,16
1,1
1,1
2,1
24,24
2,5
33,31
1,1
2,2
5,4
1,2
2,3
13,1
1,1
1,1
1,1
20,19
1,1
4,1
1,2
3,1
6,6
25,23
1,1
1,1
1,1
1,1
1,3
3,1
1,1
1,1
1,1
2,3
3,3
1,2
2,15
5,2
3,1
1,4
12,13
1,1
3,1
2,1
1,2
12,12
1,1
1,1
1,1
1,1
1,1
6,10
8,8
21,2
1,2
1,1
1,1
1,1
3,1
28,25
2,1
4,1
20,21
2,4
1,3
4,5
2,1
1,1
2,1
7,4
3,1
22,19
1,2
4,4
2,1
11,13
8,8
1,1
1,1
2,3
8,8
1,1
2,1
1,2
1,2
1,1
2,1
1,2
1,1
1,1
35,22
2,2
1,1
1,3
3,4
26,34
1,1
1,1
2,1
2,1
1,2
5,5
1,1
18,12
27,4
3,2
1,2
1,2
2,1
1,1
2,1
1,1
1,1
1,1
16,12
2,6
1,1
1,1
1,2
4,4
3,2
1,1
1,1
1,3
1,1
1,1
1,1
1,1
1,1
1,6
1,2
3,2
1,1
1,1
1,1
1,1
6,4
19,20
2,2
4,1
2,5
21,21
1,1
4,4
26,26
2,4
1,1
3,1
4,1
1,1
12,6
1,1
3,1
1,1
12,15
2,1
1,1
1,1
1,2
1,1
4,1
3,3
2,1
1,1
1,1
1,1
1,1
1,1
1,1
7,24
2,2
1,1
1,2
1,1
1,11
1,1
1,1
1,1
1,1
1,1
2,9
2,2
1,1
1,1
1,1
2,1
1,2
3,3
11,17
6,9
1,1
2,1
1,2
1,1
2,3
2,1
5,4
1,1
1,1
4,11
2,2
2,1
1,1
1,1
6,2
2,3
1,1
1,1
1,1
6,1
1,1
5,4
1,2
1,1
2,1
32,33
1,1
1,1
20,5
4,1
4,5
1,2
1,1
2,1
1,1
1,2
2,1
4,3
1,2
2,3
1,1
2,1
1,1
2,1
1,1
2,3
1,1
1,1
1,1
1,5
1,1
1,1
5,6
1,1
1,3
5,2
1,2
4,1
1,1
1,1
2,1
2,3
6,5
3,4
1,1
5,8
1,1
1,1
1,1
1,1
2,1
1,1
1,2
1,1
14,14
1,1
1,1
9,11
1,5
1,1
1,2
9,6
3,1
1,1
4,5
1,1
9,17
1,1
2,2
1,1
1,1
2,2
2,1
1,1
6,6
2,3
1,1
1,1
1,1
1,2
2,1
1,1
49,16
1,1
1,1
1,2
2,1
1,1
3,10
1,1
1,1
3,1
1,1
4,63
1,1
7,7
1,2
17,21
7,8
1,1
1,2
1,1
1,1
3,3
2,1
12,1
1,1
5,1
2,4
1,2
1,1
11,11
4,11
19,23
1,1
1,4
4,1
1,1
1,1
1,1
1,2
1,1
9,7
1,1
5,9
1,1
1,1
2,1
26,8
1,1
2,1
1,1
3,5
1,1
2,1
3,2
1,29
1,1
5,1
10,9
1,1
3,4
1,1
8,2
2,2
2,1
1,1
1,1
1,1
2,1
50,31
2,1
1,1
2,1
26,27
2,9
1,1
2,2
5,3
10,10
1,2
1,1
3,7
1,1
1,1
2,2
1,1
38,20
4,2
1,1
1,1
2,2
1,2
27,27
35,30
1,1
1,1
1,1
2,20
1,2
5,6
1,4
1,1
1,1
2,1
6,7
1,1
1,1
13,14
1,1
4,3
1,3
2,4
1,1
2,2
1,1
25,20
4,1
2,2
1,6
1,1
1,1
1,1
3,4
4,1
3,1
2,1
2,1
1,2
1,1
1,1
1,1
5,3
1,1
1,1
2,3
3,1
1,2
1,2
1,1
25,36
1,1
2,1
2,3
1,1
8,7
1,2
1,1
5,3
2,2
1,1
1,1
11,38
1,1
3,1
1,1
1,2
3,1
1,1
1,1
1,1
2,5
29,16
1,1
1,1
3,4
1,12
2,2
2,2
4,26
1,1
4,3
1,1
1,22
5,8
1,1
2,1
1,1
1,1
2,2
1,1
12,9
1,1
1,1
5,2
3,1
2,1
4,1
1,1
2,2
1,2
1,1
1,1
2,3
1,1
1,1
5,1
1,1
2,5
1,1
1,1
1,1
1,1
1,1
2,1
1,1
10,1
1,1
1,1
1,2
2,1
5,6
2,13
1,2
1,1
3,2
10,5
1,2
2,2
3,2
1,1
1,2
3,1
1,1
1,1
3,1
29,3
1,1
1,2
3,2
4,12
1,1
3,1
27,15
1,2
2,2
1,1
1,1
6,1
6,6
1,1
1,3
2,1
4,3
1,1
2,4
1,2
1,1
1,1
4,2
2,1
3,4
2,2
1,1
4,2
3,21
2,1
4,2
2,2
3,3
3,1
14,1
10,7
1,1
5,2
2,2
7,4
1,2
1,1
1,1
1,4
2,1
2,1
2,1
1,17
2,2
1,1
1,1
1,2
2,3
1,3
5,4
2,2
1,1
4,3
1,1
1,2
3,5
1,1
1,1
51,44
1,1
2,10
1,1
1,1
2,1
1,1
1,2
2,4
3,2
1,1
1,4
1,1
1,2
1,1
4,2
1,1
1,1
1,1
1,1
6,4
11,10
4,1
4,1
2,2
1,1
47,6
1,1
1,1
1,2
1,4
1,1
1,1
14,13
1,1
1,2
1,3
2,5
5,6
7,8
2,2
2,1
1,1
1,1
1,1
3,6
1,1
1,1
1,1
20,21
1,2
1,1
1,1
1,1
1,1
1,1
5,3
1,14
42,51
1,1
1,2
1,2
4,1
1,1
2,1
1,1
7,5
1,1
8,12
1,1
2,1
1,1
1,1
1,1
5,5
1,1
10,8
1,1
1,1
2,2
1,1
1,1
5,2
6,7
1,5
1,1
1,1
1,1
1,3
7,9
24,5
2,1
1,1
18,40
1,1
3,2
3,1
1,1
1,1
1,1
3,2
1,2
1,2
5,4
6,11
2,1
2,2
1,1
1,1
5,4
4,1
1,1
2,1
3,1
3,1
1,1
1,1
1,1
4,161
8,88
1,1
1,1
8,27
1,1
1,1
1,1
14,14
1,1
1,3
25,23
1,1
4,1
1,1
3,1
1,1
1,1
1,1
1,1
1,1
1,2
4,7
1,34
17,20
1,5
1,4
1,1
1,1
1,1
8,10
1,1
1,1
1,1
3,1
4,3
1,1
7,1
10,2
1,1
1,1
1,1
2,2
8,11
9,1
3,1
1,1
1,1
6,2
32,23
3,6
3,5
1,2
1,1
5,1
2,1
3,2
1,1
8,5
68,1
1,1
1,1
23,12
6,5
2,1
1,1
1,2
2,4
1,2
1,2
3,2
2,1
1,1
14,15
1,3
1,1
1,1
22,24
2,1
2,1
5,16
1,1
1,3
2,1
1,1
1,30
1,1
1,1
2,1
4,1
9,2
7,6
5,6
1,15
1,1
2,1
1,1
1,1
2,1
1,1
3,3
1,1
1,1
1,1
14,15
5,4
1,1
1,1
1,5
1,1
1,1
2,1
5,1
4,1
1,1
3,3
1,1
5,5
1,1
1,1
3,2
4,1
2,1
1,3
1,1
1,1
5,4
1,1
1,1
1,2
19,11
1,1
3,2
1,1
1,1
1,1
1,1
1,1
2,1
2,1
1,1
7,1
1,3
2,2
1,1
1,1
18,16
1,6
3,1
1,3
19,14
8,1
1,1
2,2
13,1
1,2
1,2
1,2
2,1
1,1
1,1
1,1
4,9
4,4
1,1
3,1
1,1
1,1
1,2
23,1
7,1
4,2
2,1
4,2
1,1
2,3
2,13
3,1
1,1
1,2
2,3
2,4
1,2
43,48
4,1
1,1
1,9
3,7
30,12
1,1
12,25
1,1
2,6
8,12
1,1
2,2
2,1
2,2
1,1
1,1
2,1
1,1
1,1
1,1
1,16
1,1
1,1
3,2
2,2
1,3
3,2
3,1
2,1
5,5
2,1
1,1
24,38
1,3
1,1
3,1
3,2
18,17
4,2
3,3
1,1
2,1
1,3
8,5
1,1
1,1
1,3
1,2
1,2
2,2
1,1
1,2
1,1
3,4
1,1
1,1
2,2
1,1
1,2
1,1
1,1
1,1
1,1
3,3
1,1
1,2
1,1
2,1
3,6
3,1
27,31
1,1
15,16
2,2
2,2
1,1
25,20
1,1
1,1
2,2
2,1
1,1
4,5
1,1
2,1
1,6
1,1
2,1
1,1
1,1
3,7
1,1
6,8
1,1
7,1
2,2
7,8
1,1
16,17
1,3
49,19
4,6
1,1
2,1
1,1
3,1
11,11
1,1
1,1
2,2
1,1
1,1
1,1
1,1
3,5
2,2
12,14
1,1
6,4
1,1
3,1
1,1
2,1
3,1
3,1
1,1
1,4
2,2
1,1
1,7
2,2
2,1
1,1
1,1
2,1
1,2
1,1
1,1
2,2
1,1
2,1
2,1
1,4
1,1
2,4
1,1
4,1
1,1
1,1
1,1
1,1
1,6
2,2
1,2
1,2
3,1
1,1
2,2
3,1
2,1
4,1
2,1
2,1
3,4
9,7
1,1
15,5
7,1
3,3
2,5
21,33
5,5
5,6
1,2
3,4
3,1
1,1
1,3
4,4
3,1
3,1
2,2
1,1
3,1
1,1
1,1
1,1
1,1
3,3
12,12
1,1
5,7
1,1
3,1
3,7
1,1
1,1
4,5
1,1
1,1
1,1
1,1
4,1
9,3
1,1
5,7
1,1
1,2
1,1
2,3
9,5
1,1
2,1
1,1
3,2
22,8
1,1
1,1
1,3
1,3
3,3
1,2
1,1
1,1
1,1
2,2
1,1
12,17
4,4
3,4
1,1
3,2
1,2
2,1
1,1
1,1
10,34
6,8
1,1
1,1
1,1
1,1
1,1
10,1
7,6
1,1
1,2
1,3
1,1
3,1
8,7
2,1
6,6
1,1
1,1
4,7
1,1
1,13
2,1
2,1
1,1
10,6
1,1
2,1
1,1
1,1
1,2
2,2
2,2
1,1
5,6
2,1
4,2
4,6
2,1
1,2
2,1
12,5
1,1
22,15
9,11
1,1
2,2
2,9
14,15
2,1
2,1
2,6
2,1
3,2
2,1
1,1
1,1
2,27
19,16
5,5
1,1
1,1
1,1
1,1
2,1
2,2
1,4
1,4
1,1
1,1
3,1
3,1
3,1
1,1
1,1
3,3
3,4
39,19
4,4
1,5
1,4
1,4
1,1
1,1
1,1
3,1
2,2
7,6
4,1
1,1
1,2
2,4
1,3
17,33
1,1
1,1
5,1
1,2
2,4
2,1
1,1
1,2
4,4
55,28
2,1
1,6
2,1
1,1
2,1
1,1
1,1
1,5
9,3
1,1
1,1
1,1
3,1
18,17
2,1
4,3
2,3
5,3
6,2
1,1
1,2
2,1
1,1
1,1
1,1
1,1
1,2
1,1
2,2
2,2
1,8
3,1
2,2
4,15
12,2
11,12
2,2
3,1
1,1
7,7
1,1
1,1
1,1
3,3
5,6
1,1
2,1
3,2
3,1
1,1
1,1
6,4
2,1
2,13
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
3,2
4,6
